Number,Date,Teams,Sets,Result per set (points),Result per set (points).1,Result per set (points).2,Result per set (points).3,Result per set (points).4,Points,Time,Audience,MatchNumber,City
Number,Date,Teams,Sets,1,2,3,4,5,Points,Time,Audience,,
96,23/06/2019,BRA - RUS,3 - 0,25  - 17,25  - 21,28  - 26,-,-,78 - 64,01:35,6267,96,Cuiaba
97,28/06/2019,CHN - ARG,1 - 3,17  - 25,25  - 20,21  - 25,19  - 25,-,82 - 95,01:48,1800,97,Brisbane
101,28/06/2019,IRI - SRB,3 - 1,25  - 23,26  - 28,25  - 22,25  - 19,-,101 - 92,02:10,1015,101,Plovdiv
99,28/06/2019,ITA - CAN,1 - 3,25  - 15,20  - 25,22  - 25,18  - 25,-,85 - 90,01:50,2676,99,Brasilia
103,28/06/2019,POL - JPN,3 - 1,22  - 25,25  - 19,27  - 25,25  - 20,-,99 - 89,02:02,1115,103,Leipzig
100,28/06/2019,BRA - FRA,3 - 1,23  - 25,25  - 18,25  - 23,25  - 23,-,98 - 89,01:54,7504,100,Brasilia
98,28/06/2019,AUS - RUS,0 - 3,20  - 25,15  - 25,18  - 25,-,-,53 - 75,01:16,2200,98,Brisbane
104,28/06/2019,GER - POR,3 - 1,28  - 26,20  - 25,25  - 10,25  - 23,-,98 - 84,02:06,1275,104,Leipzig
102,28/06/2019,BUL - USA,3 - 1,21  - 25,25  - 19,25  - 23,25  - 23,-,96 - 90,01:59,5600,102,Plovdiv
105,29/06/2019,ARG - RUS,2 - 3,19  - 25,25  - 22,18  - 25,25  - 21,11  - 15,98 - 108,02:06,2100,105,Brisbane
107,29/06/2019,FRA - ITA,3 - 1,27  - 25,25  - 19,21  - 25,25  - 20,-,98 - 89,01:49,3153,107,Brasilia
109,29/06/2019,USA - SRB,3 - 1,14  - 25,25  - 20,29  - 27,26  - 24,-,94 - 96,01:54,950,109,Plovdiv
111,29/06/2019,GER - POL,1 - 3,19  - 25,25  - 21,14  - 25,23  - 25,-,81 - 96,02:03,3879,111,Leipzig
106,29/06/2019,AUS - CHN,3 - 1,24  - 26,25  - 15,25  - 22,25  - 18,-,99 - 81,01:53,2500,106,Brisbane
108,29/06/2019,BRA - CAN,3 - 0,25  - 20,25  - 19,25  - 19,-,-,75 - 58,01:19,7122,108,Brasilia
112,29/06/2019,POR - JPN,1 - 3,20  - 25,22  - 25,25  - 22,20  - 25,-,87 - 97,02:00,2437,112,Leipzig
110,29/06/2019,BUL - IRI,0 - 3,23  - 25,23  - 25,21  - 25,-,-,67 - 75,01:36,5100,110,Plovdiv
113,30/06/2019,CHN - RUS,0 - 3,23  - 25,23  - 25,26  - 28,-,-,72 - 78,01:31,1700,113,Brisbane
119,30/06/2019,GER - JPN,2 - 3,17  - 25,25  - 23,25  - 21,18  - 25,9  - 15,94 - 109,02:17,1403,119,Leipzig
114,30/06/2019,AUS - ARG,0 - 3,23  - 25,18  - 25,24  - 26,-,-,65 - 76,01:26,2200,114,Brisbane
115,30/06/2019,CAN - FRA,0 - 3,22  - 25,26  - 28,23  - 25,-,-,71 - 78,01:30,4090,115,Brasilia
117,30/06/2019,IRI - USA,0 - 3,25  - 27,21  - 25,20  - 25,-,-,66 - 77,01:22,980,117,Plovdiv
120,30/06/2019,POL - POR,3 - 0,25  - 18,25  - 21,25  - 20,-,-,75 - 59,01:18,1195,120,Leipzig
116,30/06/2019,BRA - ITA,3 - 1,26  - 28,25  - 22,25  - 18,25  - 18,-,101 - 86,02:04,9446,116,Brasilia
118,30/06/2019,SRB - BUL,3 - 0,25  - 23,25  - 12,25  - 18,-,-,75 - 53,01:25,5750,118,Plovdiv
